"year","WinterPCoAxis_1","WinterPCoAxis_2","WinterPCoAxis_3"
1982,-0.150021781888872,0.0845499869467168,0.0442382641202134
1983,-0.295673403350166,0.0463014423111825,0.033226413061864
1984,-0.421898748907519,0.09475086819058,0.00919802290626824
1985,-0.44276263835993,0.128683273233467,0.0293580549090818
1986,-0.342476470674384,0.167200622042647,0.0306705084699646
1987,-0.448450162652275,0.0163529622432875,-0.0166909874397103
1988,-0.367787227435768,0.0441993737463116,-0.0423211362956202
1989,-0.368258265750313,0.0803174693063735,-0.0173371439068851
1990,-0.0197565403878974,0.501854661125495,0.297013082778858
1991,-0.211626040152398,-0.240694114323309,0.042714019567389
1992,-0.313791797808799,-0.0992929673427193,-0.0938967164813529
1993,-0.286344571385275,-0.181364672583071,-0.0629530222220692
1994,-0.254447854718288,-0.147303959670782,-0.06618123384982
1995,-0.144232303338592,-0.329232481267674,0.027844533320848
1997,0.0100306781653075,-0.266090405147943,0.00539112900602953
1998,0.0341807482806671,-0.164908873620229,-0.116309330501797
1999,0.102471415874537,0.187336708668208,-0.0236921820175482
2001,0.196003811390644,-0.249975437494492,0.0412157909356978
2002,0.205260891324958,0.308334239202785,-0.468040022796197
2003,0.303930537882254,0.168853021839735,-0.369520476763115
2004,0.225885732802041,-0.0716481785355324,-0.123475912291923
2005,0.342369524836901,0.0222503580361853,-0.000650081434871408
2007,0.336872988059933,0.0796627053873461,-0.338915925290824
2008,0.302979985172419,0.0855919608597532,-0.366334346796334
2009,0.272476236795059,0.227256108891953,0.312530590953723
2012,0.310863005527268,-0.176323012868615,0.0777774511120646
2013,0.279896689793499,0.356151925002871,0.398489705858198
2014,0.346577428093899,-0.209540329188105,0.137665361809605
2015,0.302681324047498,-0.195493847132178,0.1457806183681
2016,0.221054923945996,-0.044171949360603,0.253741619051955
2017,0.273991884817597,-0.223607458499646,0.219463351858204
