"year","WinterPCoAxis_1","WinterPCoAxis_2","WinterPCoAxis_3","WinterPCoAxis_4","WinterPCoAxis_5","WinterPCoAxis_6","WinterPCoAxis_7","WinterPCoAxis_8","WinterPCoAxis_9","WinterPCoAxis_10"
1982,-0.300569954675068,0.00936830850716331,-0.0589320340195024,-0.310607898546872,0.282309975196148,0.27127106007765,0.0703083355748902,-0.00301078737197244,-0.15485448942864,-0.0397306632199548
1983,-0.357870951631457,0.0670801701013173,0.00338747617634064,-0.346507665619505,0.268597948813498,0.141975228659039,0.0610624216715601,-0.0262670378610919,-0.102658653802879,-0.00488855199723856
1984,-0.2643039370544,-0.0905956018484033,-0.0661868949863561,-0.311249661474063,0.155821257158719,-0.212285698425732,-0.0166261826769182,-0.0611843923293432,0.390945915317313,0.122414624651199
1985,-0.338943749636183,-0.00260805790414377,0.0850784855335846,-0.329952098645487,0.0825539713530596,-0.252172948071885,0.0162595856269878,-0.0631978337535832,0.0931648888437357,0.0142429062283918
1986,-0.363606308714761,0.0879571135457407,0.125165548178701,0.0212884099249344,-0.166551508267242,-0.224957808012972,-0.028188459351616,-0.0286338388202993,-0.136348969909057,0.0357087452385276
1987,-0.503304437031519,0.153862171388347,-0.1105832893487,0.146472246476131,0.0340302090914578,-0.0121181851527384,0.0336531453768321,-0.0285990910813977,0.0318905796109474,0.0091844255599852
1988,-0.430390813608751,0.140136103762504,0.0129594059935946,0.162285899493135,-0.131624378555146,-0.107301321759457,-0.0146958648555187,-0.0425861524688374,-0.0945141718187493,0.058996496822703
1989,-0.384136492745764,0.0538270287042517,-0.221717897031533,0.387563133673524,-0.10222359123161,0.063466702989105,0.00809505554302435,0.00350234780191424,0.155585808670272,0.00253212423182476
1990,-0.0449950965373544,-0.394230264894793,-0.124695524993021,-0.0697616825890082,-0.14335183158792,0.0256223393723365,0.153464735914397,0.555514534317229,0.014193481681061,0.16682975297724
1991,-0.0668304192551135,-0.175596247440815,0.297570848503701,-0.0967804222335114,-0.345046655011792,-0.0732756170959083,0.0656147951990733,0.0375620543694022,-0.0752098206232736,-0.182040494809123
1992,-0.488693507375932,0.145738880738389,-0.15346387031004,0.16124856788248,0.0815969019753246,0.156191124675151,0.0637618004148084,-0.0221883601442787,-0.0329547285232784,-0.0227198352176716
1993,-0.430808286651221,0.152025814530826,-0.123227366004346,0.330896017136098,-0.0299601990315084,0.04452944014449,0.0078797543721007,0.0162382809625747,0.0549380181918938,-0.0265482574513877
1994,0.0199351127697996,0.0148943262298883,0.388954450887754,-0.0538954331452559,-0.249800284384103,-0.0158991867479612,-0.029223761402085,-0.0559564217273638,-0.0589929405103456,0.0386145704771145
1995,-0.156018973325039,0.156079302142054,0.290777835128248,0.00180497449875998,0.0558178439274223,-0.14856414805627,-0.0705242159290858,0.105486787365814,-0.0410116654442947,-0.101265400144777
1997,0.0328191602830327,0.214231904163236,0.311920137945625,0.0276400197400409,0.0659239604673644,0.0539659065620074,-0.0754560595548294,0.112633948073269,-0.0919397705687153,-0.022861384540208
1998,0.266859391419807,0.134635644747267,0.121270331904157,-0.0404471505362026,-0.158779300935028,0.129753557107464,-0.0364178028305683,-0.114379230494979,-0.0119988162217859,0.260678556885919
1999,-0.0246849448125933,-0.3281440842936,0.0250371935000291,-0.132819953673134,-0.340256289888175,0.300966384122874,0.130082076269223,-0.137827887096382,0.220204415826067,-0.209340760263506
2001,0.346975718645691,0.196708499776085,0.11688301487186,0.0438753340089692,0.112305728291747,-0.00403272440301846,-0.0643524955449374,0.136696666355016,0.0446017921094233,-0.057857370856108
2002,0.250471166705647,0.177551304474416,0.022772278157571,-0.100467459878184,-0.201672082952975,0.192307410016205,-0.0705732631523456,-0.0944926713132501,0.0257460313766432,0.324564318664481
2003,0.345676373118315,0.150519625517781,-0.337303589695318,-0.107564728718726,-0.101937346596503,-0.109992575852708,0.0442030178631012,-0.0235777578736127,-0.0698948974480763,-0.10239994472833
2004,0.428922694916335,0.166537616588547,-0.151585448199337,-0.0338091552986321,-0.0770055265266783,-0.0506947252537098,0.0538469287734369,-0.0628627572188735,0.00271094468757334,-0.0420707498251706
2005,0.22239246522515,0.257126130939377,-0.129892104587394,-0.103410095927935,0.044368168858726,0.0891772008397858,0.00625543381235052,0.0600381646142624,-0.125286517141023,-0.0950665756282817
2007,0.411581174803507,0.13870871998039,-0.334074483969948,-0.0378453938328203,-0.0262606200392125,-0.112117217752916,0.0376578598104832,0.0016930337580831,0.000641383408069296,-0.0620188544362565
2008,0.388961476905429,0.151914895253542,-0.323353361351913,-0.0700744018386614,-0.104897572634718,-0.116780012438931,0.0331695520664133,-0.0197709499806885,-0.0291591553198663,-0.0223444758005254
2009,-0.0435457339273016,-0.363007913001877,-0.18715248088132,-0.0366982496234612,-0.00834242347493767,0.0654189153891161,-0.631648270747306,0.0205829992378916,-0.0132369212356559,-0.0899875475713893
2012,0.34762093288564,0.0932001182497515,0.0820558729155626,0.110460746266498,0.185194938933866,0.0281109903699651,-0.0678623911707474,0.138456314390818,0.122449835487092,-0.0210768265316897
2013,0.117620913129466,-0.487465978927121,-0.0842555020124306,0.15868412094099,0.176557448053726,-0.110566687411418,0.0893970253015509,-0.0971355702599461,-0.180745581076681,0.117611648039276
2014,0.349256017537966,-0.0415276737835785,0.220266828199937,0.183694367945216,0.212481970732253,0.0591554522160345,-0.000347399381251629,-0.0287863919683993,0.0802122005272592,0.113569747330573
