"","V1","V2"
"ambr.arte",0.310863005527268,-0.176323012868615
"amsi.tess",0.31953173602073,-0.103046230740088
"astr.allo",-0.275821088239071,-0.0435802690384992
"astr.nutt",0.200156704161362,-0.0490893779137609
"bail.mult",-0.298769377335181,0.175142965377461
"caly.wrig",-0.194255665552432,-0.217246541390383
"chae.stev",0.179255447111817,0.0802905456898351
"chen.frem",0.143945404370391,-0.192919593527276
"chor.tene",0.0100306781653075,-0.266090405147943
"cryp.cras",-0.28985353947059,0.0404625002004533
"cryp.micr",-0.27196979945526,-0.0202635626923616
"dale.brac",0.108961762029812,0.0087702492500272
"desc.obtu",0.306563990307823,-0.186396212182509
"desc.pinn",-0.138872638689254,0.0148595780560428
"dith.wisl",-0.223615156632365,-0.20820869896628
"eria.diff",-0.367835635944883,0.0631074693656824
"erig.dive",-0.32886268691348,0.0970444043937779
"erio.aber",0.0072294781318594,0.139336262472914
"erod.cicu",0.272292164862554,0.106013270408827
"erod.texa",-0.17563614356631,-0.0108470566436245
"esch.mexi",-0.336692788867416,0.081563865730592
"gili.sinu",-0.291379568284526,-0.0420873857015618
"hapl.grac",-0.354872256919894,0.0212474777473987
"laen.coul",0.302681324047498,-0.195493847132178
"lapp.redo",0.266199829048554,-0.185084916834687
"lepi.lasi",0.168795783916199,-0.109385440747015
"lesq.gord",0.257105250611705,0.0808982328443213
"lina.bige",0.286086725321136,-0.122239027442954
"lupi.brev",0.273991884817597,-0.223607458499646
"lupi.conc",-0.11146289486275,-0.172447559537532
"mala.fend",-0.273979439819135,0.0545855968740445
"micr.lene",-0.190677379685012,-0.0896462865312462
"oeno.prim",0.0978492860431218,-0.195360499475492
"pani.hirt",0.125238877752386,0.401251042610647
"pect.recu",0.325521187400312,-0.196652176469651
"phac.ariz",0.0466832067109937,-0.141702811402515
"plag.ariz",-0.123454185901899,-0.308562567951326
"plan.purs",-0.0135899039972455,-0.081386471966956
"schi.barb",0.0288990563234465,-0.187037574644136
"sisy.irio",0.303930537882254,0.168853021839735
"sper.echi",-0.187610945450458,-0.0923635752800466
"step.exig",-0.327721966298352,-0.0432898575787146
"vulp.octo",-0.187074459264945,-0.171632155823115
