"year","SummerPCoAxis_1","SummerPCoAxis_2","SummerPCoAxis_3","SummerPCoAxis_4","SummerPCoAxis_5","SummerPCoAxis_6","SummerPCoAxis_7","SummerPCoAxis_8","SummerPCoAxis_9","SummerPCoAxis_10"
1981,-0.0648040498266466,-0.0657313830843625,-0.258017838444521,0.159909834665996,0.210145746649772,-0.266875008869972,-0.0622465623144584,0.0823095962598295,-0.0722649640426041,-0.257238088321861
1982,0.120357869568474,0.145721676459346,-0.230060593498577,0.199831598940866,-0.0283608197644727,-0.061929442529507,0.0232218037631487,-0.099673875057992,-0.0123085163593412,0.0187570159528858
1983,0.162611588637551,-0.138401134975049,-0.361168465974038,0.202589253104017,-0.0197967237842043,-0.150836717857201,-0.024237001537588,0.0244078322527869,-0.0257783071860912,-0.0749923560353871
1984,-0.28454667924159,-0.0125776856542655,-0.0520058607387218,-0.333238819788112,-0.293364841486512,-0.18062308353513,0.0674435654349153,0.0461759587176176,-0.139927936430981,-0.0843464749352698
1985,-0.361237573530702,-0.114160778808632,-0.0478741755338647,-0.357202254467809,-0.145226885447586,-0.0345562250938569,0.1149689258292,0.132933867715929,-0.070338097774325,-0.0701992364510448
1986,-0.198019404273625,-0.00513576830475169,-0.214814180915837,-0.492679191385543,0.15474348781754,0.051432794708252,0.0752249626203722,0.0612874417197808,0.131541751895563,-0.0030091750906347
1987,0.0956153700348678,-0.0413766170558424,-0.349271402255112,-0.244304178156496,0.226877721941886,0.0845858488049978,-0.0249261684861865,-0.0496814156983478,0.0942414325649112,-0.0116603366964847
1988,0.0824253410922896,-0.0258615178997901,-0.408561092227242,-0.222807043257765,0.10321441074534,0.114175550316633,0.027463615815094,-0.147009592123629,0.143105161194333,0.108961916785081
1989,0.3480227289305,-0.223907661076594,0.35235850469164,-0.112972566860809,0.149003946396392,-0.0521576725929288,0.107323586772826,-0.106897032587578,-0.0803780890129925,-0.0101603915450086
1990,0.224237525676061,-0.25956368335124,0.381378153618024,-0.141022467866449,0.197431896811233,-0.156748748258936,0.1287095120931,-0.233992019114224,-0.0510271284970861,-0.0388468065726475
1991,0.400675350832968,-0.247388943453272,-0.0625133789371796,0.0202829462527818,-0.184595547923359,0.0446605664178439,0.00414603592652685,0.0509845537323959,0.00179041975661071,0.0549427130904837
1992,-0.216142974189253,-0.280178439911553,-0.0641712584394685,0.240552856576602,0.259249766880453,-0.376323583404284,-0.0800814679256069,0.162390656736289,0.0287723802483417,0.239849799249613
1993,-0.376318644606186,-0.12807986642485,0.116637646130078,-0.148021934770729,-0.186440211879446,0.0337790698021091,-0.0642061644709689,0.150626747106051,-0.175134744820373,0.141226578252462
1994,-0.255518835309739,-0.228848393163995,0.143345001363954,-0.100613236755181,-0.0555829937183907,0.0492051484868349,-0.588715421084691,-0.222632630859426,-0.0302724030261814,-0.059394423718396
1995,-0.381204450068103,-0.344181529012608,0.0571577364497292,0.211419037206119,0.0532745738357892,0.127034953760707,0.0648729143595362,0.0171851854778715,0.0314621964684455,0.281143472834788
1996,-0.100066551092764,0.404073873991479,0.129424341172001,0.0375369970395268,-0.158134109899385,-0.138369621527624,0.0703559396802239,-0.0908623562424955,0.0331870060411235,0.0393882304549439
1997,-0.230767184311303,-0.086027994323436,0.000383485772482952,0.303423282502773,-0.00966608046871933,0.188777373561965,0.139908143172757,0.016343857369163,-0.133829901629882,-0.0958120809793246
1998,-0.392666438908628,-0.258955731410892,0.00489298799013002,0.285936814772774,0.00383643594708306,0.116630298827071,0.140502751628605,-0.0908930008470894,0.0947426143138782,-0.193873095252289
1999,-0.192538613469832,0.342046547438693,0.235341911648996,-0.000693107543103816,-0.159614229795155,-0.130497101237696,0.00466855542620936,0.0206698611053893,0.240845845258915,0.0362627584655168
2000,-0.00932562350169488,0.414895807152995,0.0359877966413829,0.0430975981157306,-0.134530121835456,-0.143702826218902,0.0413538823045759,-0.157229892146582,0.00439117252556359,0.0915361591196966
2001,-0.43069905826782,-0.256810378685624,0.0739628517207745,0.167705012446869,-0.0840555174066649,0.208303836617104,0.0670854807005756,-0.0807881207758552,0.091074541106897,-0.0599941147962495
2002,-0.047864569201389,0.416501288704129,0.171979346705147,0.0303580956786914,0.147143530521985,0.0773910048169138,-0.0263063726124028,0.0635047777266558,-0.116416764430087,0.0168228181327556
2004,-0.0649607830375925,0.335897417346339,0.0803340455159587,-0.0860423116484352,0.341884773467762,0.184818923294182,-0.018531821675225,0.0519768202058816,-0.0709909082197386,0.0496991552058402
2005,0.0846539533719874,0.334797926093935,-0.0446212883968261,0.0894189960367,0.0824791833757868,0.0817222630959702,-0.000396936539331007,-0.0874085960658264,-0.124924125150325,0.0702635171754914
2006,0.00289548944935444,0.338208038805929,0.0884155688509828,0.0103517726942451,0.161874355722934,0.0753982295691061,-0.0345579382556069,0.122292087319936,-0.177079064726534,-0.0964284868030432
2007,0.281424172176228,0.210063722821067,-0.133455002450188,0.11528974829336,-0.110395299759618,0.0612609739857837,-0.0188016017037441,-0.0492429924364672,-0.0675663874932418,0.0403441829191991
2008,0.418157404638504,-0.0888802752041284,0.0634779840852141,0.0353512944305435,-0.104319803611072,0.0845590765251294,-0.0798713871463937,0.191410604933378,0.080690772428191,-0.0170685539219729
2011,-0.092529812476188,0.337725803745395,0.185882264035152,0.0829364345654387,0.0164190491367708,-0.0317141485136217,-0.0606077879511168,0.0870563600514905,0.326131564712719,-0.123171481371869
