"year","SummerPCoAxis_1","SummerPCoAxis_2","SummerPCoAxis_3"
1981,-0.180984433242404,0.0525472715011242,0.171498571549933
1982,-0.190800098934994,-0.0148164319865639,0.139808044253342
1983,-0.237701384688159,0.251747864151725,0.000900846073890314
1984,-0.444203251519037,-0.160579700701113,-0.0432370445618329
1985,-0.519087476910597,-0.0982077156705761,0.00650079525375845
1986,-0.508012270733839,-0.246574056797305,-0.0362368723915594
1987,-0.487985142658917,-0.208375239481624,-0.00938659594552536
1988,-0.443549465435017,-0.112751021943904,-0.132825345138619
1989,0.220774643990198,0.0461145116205598,0.0293475485108558
1990,0.249691899780155,-0.0329226601866862,-0.036146942954537
1991,-0.0435597146245582,0.345763859000879,-0.318527820561286
1992,-0.127357350473809,0.581279862007738,0.0077474587928278
1993,0.0852065248780848,0.124888479383032,0.182501838344642
1994,0.0569239408306659,-0.0507700671349778,-0.0393484477896969
1995,0.043208948694369,0.484110435770449,0.128594321333982
1996,0.177632462960029,0.00843838032893593,0.107487655886495
1997,0.0373028063706294,0.199389033300373,0.222588248783747
1998,0.0407973075539421,0.0888959201807397,0.293193633598068
1999,0.196710495772521,-0.150533657938397,0.233308095467408
2000,0.137739922359068,-0.160012637657265,0.0860947013331536
2001,0.00861607918900315,0.229790304091469,0.247261402424244
2002,0.239491159526046,-0.232972139021273,0.0732516369913642
2004,0.21018451680554,-0.214978512346033,0.147236518870698
2005,0.0517739081337183,-0.221246446332492,0.0756028412719728
2006,0.219994630405907,-0.142775828656928,0.180306260431353
2007,0.0533408583097928,-0.105871334807055,0.0579549623963634
2008,0.232802483587352,-0.181349494216517,-0.145206287110743
2009,0.0725281715503154,0.0427424264236296,-0.249357184789204
2011,0.209500598623706,-0.128540962392352,-0.0403051704275348
2014,0.228224698806788,-0.182802891816557,-0.243578225748656
2015,0.120140754026064,0.0661801839644497,-0.464936723424306
2016,0.112363712724796,0.151751037474266,-0.319427101763067
2017,0.178290064342641,-0.027558770111751,-0.312665618961532
